Date,Clicks,Impressions,CTR,Position
2020-10-26T00:00:00Z,1263,26888,0.047,19.06
2020-10-25T00:00:00Z,1245,26852,0.0464,19.64
2020-10-24T00:00:00Z,700,19697,0.0355,24.68
2020-10-23T00:00:00Z,683,17850,0.0383,24.18
2020-10-22T00:00:00Z,981,23797,0.0412,20.38
2020-10-21T00:00:00Z,1174,24505,0.0479,19.06
2020-10-20T00:00:00Z,1244,25639,0.048499999999999995,18.5
2020-10-19T00:00:00Z,1247,25811,0.0483,18.37
2020-10-18T00:00:00Z,1306,27065,0.0483,19.13
2020-10-17T00:00:00Z,729,19252,0.0379,25.24
2020-10-16T00:00:00Z,640,17502,0.0366,25.26
2020-10-15T00:00:00Z,1086,23953,0.0453,21.56
2020-10-14T00:00:00Z,1158,25954,0.0446,20.49
2020-10-13T00:00:00Z,1201,26952,0.0446,20.26
2020-10-12T00:00:00Z,1264,25913,0.048799999999999996,18.33
2020-10-11T00:00:00Z,1215,26387,0.046,20.18
2020-10-10T00:00:00Z,768,19848,0.0387,25.18
2020-10-09T00:00:00Z,703,19127,0.0368,25.37
2020-10-08T00:00:00Z,1069,23521,0.0454,20.13
2020-10-07T00:00:00Z,1214,25994,0.0467,19.31
2020-10-06T00:00:00Z,1307,26584,0.0492,18.5
2020-10-05T00:00:00Z,1369,27103,0.050499999999999996,17.62
2020-10-04T00:00:00Z,1323,26859,0.0493,18.03
2020-10-03T00:00:00Z,758,18868,0.04019999999999999,24.44
2020-10-02T00:00:00Z,724,17378,0.0417,23.86
2020-10-01T00:00:00Z,952,21293,0.0447,19.99
2020-09-30T00:00:00Z,1223,24172,0.0506,18.56
2020-09-29T00:00:00Z,1112,24862,0.0447,19.95
2020-09-28T00:00:00Z,1125,26047,0.0432,19.98
2020-09-27T00:00:00Z,1203,26784,0.0449,20.28
2020-09-26T00:00:00Z,671,19344,0.0347,25.44
2020-09-25T00:00:00Z,643,18055,0.0356,25.4
2020-09-24T00:00:00Z,966,23141,0.0417,20.81
2020-09-23T00:00:00Z,1036,25682,0.0403,20.41
2020-09-22T00:00:00Z,1069,25986,0.041100000000000005,20.93
2020-09-21T00:00:00Z,1120,26204,0.042699999999999995,20.73
2020-09-20T00:00:00Z,1225,26069,0.047,18.19
2020-09-19T00:00:00Z,685,18239,0.037599999999999995,25.26
2020-09-18T00:00:00Z,638,17356,0.0368,24.64
2020-09-17T00:00:00Z,913,22603,0.0404,20.94
2020-09-16T00:00:00Z,1147,24678,0.04650000000000001,19.86
2020-09-15T00:00:00Z,1079,25020,0.0431,19.97
2020-09-14T00:00:00Z,1204,26684,0.0451,19.13
2020-09-13T00:00:00Z,1189,26961,0.0441,18.48
2020-09-12T00:00:00Z,712,18729,0.038,25.21
2020-09-11T00:00:00Z,693,18070,0.0384,23.19
2020-09-10T00:00:00Z,1054,24276,0.0434,20.4
2020-09-09T00:00:00Z,1263,26227,0.0482,18.16
2020-09-08T00:00:00Z,1371,26504,0.051699999999999996,17.48
2020-09-07T00:00:00Z,1376,28260,0.0487,17.48
2020-09-06T00:00:00Z,801,20013,0.04,21.94
2020-09-05T00:00:00Z,658,18596,0.0354,23.98
2020-09-04T00:00:00Z,760,18956,0.0401,23
2020-09-03T00:00:00Z,1018,24759,0.041100000000000005,19.85
2020-09-02T00:00:00Z,1233,27611,0.0447,18.55
2020-09-01T00:00:00Z,1209,29964,0.0403,18.32
2020-08-31T00:00:00Z,1270,29562,0.043,19.08
2020-08-30T00:00:00Z,1360,28390,0.0479,18.26
2020-08-29T00:00:00Z,835,23755,0.0352,30.22
2020-08-28T00:00:00Z,753,28683,0.0263,25.19
2020-08-27T00:00:00Z,1005,23845,0.0421,20.43
2020-08-26T00:00:00Z,1206,25885,0.0466,19.01
2020-08-25T00:00:00Z,1249,27128,0.046,19.9
2020-08-24T00:00:00Z,1255,26137,0.048,17.83
2020-08-23T00:00:00Z,1266,26451,0.0479,18.92
2020-08-22T00:00:00Z,727,19375,0.0375,25.07
2020-08-21T00:00:00Z,661,19477,0.0339,25.13
2020-08-20T00:00:00Z,994,24106,0.0412,21.19
2020-08-19T00:00:00Z,1159,25700,0.0451,19.81
2020-08-18T00:00:00Z,1099,27525,0.039900000000000005,19.56
2020-08-17T00:00:00Z,1206,27262,0.044199999999999996,19.88
2020-08-16T00:00:00Z,1301,28781,0.0452,20.07
2020-08-15T00:00:00Z,819,20013,0.0409,25.03
2020-08-14T00:00:00Z,690,18931,0.0364,24.32
2020-08-13T00:00:00Z,1102,22799,0.0483,19.62
2020-08-12T00:00:00Z,1149,25298,0.0454,19.67
2020-08-11T00:00:00Z,1219,24897,0.049,18.8
2020-08-10T00:00:00Z,1301,25301,0.051399999999999994,18.61
2020-08-09T00:00:00Z,1408,26456,0.053200000000000004,17.27
2020-08-08T00:00:00Z,789,19097,0.041299999999999996,26.05
2020-08-07T00:00:00Z,754,18910,0.039900000000000005,25.93
2020-08-06T00:00:00Z,1045,23212,0.045,21.43
2020-08-05T00:00:00Z,1203,24094,0.0499,20.03
2020-08-04T00:00:00Z,1253,26263,0.04769999999999999,20.99
2020-08-03T00:00:00Z,1110,25651,0.0433,20.96
2020-08-02T00:00:00Z,1266,24244,0.052199999999999996,19.76
2020-08-01T00:00:00Z,690,20605,0.0335,29.47
2020-07-31T00:00:00Z,760,16270,0.0467,24.05
2020-07-30T00:00:00Z,923,20266,0.0455,21.25
2020-07-29T00:00:00Z,1008,21657,0.04650000000000001,19.96
2020-07-28T00:00:00Z,1079,22050,0.0489,19.93
2020-07-27T00:00:00Z,980,22018,0.044500000000000005,19.97
2020-07-26T00:00:00Z,1123,24042,0.0467,20.84
2020-07-25T00:00:00Z,667,17717,0.037599999999999995,26.79
2020-07-24T00:00:00Z,617,17249,0.0358,27.96
2020-07-23T00:00:00Z,822,20674,0.0398,22.81
2020-07-22T00:00:00Z,988,21805,0.0453,19.69
2020-07-21T00:00:00Z,1003,22463,0.0447,20.48
2020-07-20T00:00:00Z,999,21137,0.0473,20.4
2020-07-19T00:00:00Z,1001,21807,0.045899999999999996,19.46
2020-07-18T00:00:00Z,626,16249,0.0385,27.16
2020-07-17T00:00:00Z,620,15101,0.041100000000000005,25.95
2020-07-16T00:00:00Z,880,19752,0.0446,22.24
2020-07-15T00:00:00Z,1032,21339,0.0484,20.68
2020-07-14T00:00:00Z,1073,23591,0.0455,20.11
2020-07-13T00:00:00Z,1054,22330,0.0472,19.45
2020-07-12T00:00:00Z,1096,22465,0.048799999999999996,19.45
2020-07-11T00:00:00Z,653,15927,0.040999999999999995,24.02
2020-07-10T00:00:00Z,659,14829,0.0444,23.43
2020-07-09T00:00:00Z,931,19313,0.0482,20.5
2020-07-08T00:00:00Z,1126,21623,0.0521,19.67
2020-07-07T00:00:00Z,1076,22773,0.0472,20.08
2020-07-06T00:00:00Z,1151,23129,0.049800000000000004,19.09
2020-07-05T00:00:00Z,1140,24049,0.047400000000000005,19.94
2020-07-04T00:00:00Z,662,17073,0.0388,26.31
2020-07-03T00:00:00Z,533,14825,0.036000000000000004,28.07
2020-07-02T00:00:00Z,756,20397,0.0371,27.13
2020-07-01T00:00:00Z,1011,22257,0.0454,21.32
2020-06-30T00:00:00Z,1159,24160,0.048,20.14
2020-06-29T00:00:00Z,1278,24420,0.052300000000000006,18.43
2020-06-28T00:00:00Z,1160,24561,0.0472,18.97
2020-06-27T00:00:00Z,688,17398,0.0395,24.63
2020-06-26T00:00:00Z,686,16083,0.042699999999999995,23.83
2020-06-25T00:00:00Z,949,20580,0.0461,21.66
2020-06-24T00:00:00Z,1120,21456,0.052199999999999996,20.15
2020-06-23T00:00:00Z,1082,22311,0.048499999999999995,19.8
2020-06-22T00:00:00Z,1160,23392,0.0496,20.82
2020-06-21T00:00:00Z,1223,25147,0.048600000000000004,20.07
2020-06-20T00:00:00Z,650,19957,0.0326,29.59
2020-06-19T00:00:00Z,639,18558,0.0344,27.99
2020-06-18T00:00:00Z,945,22312,0.0424,23.64
2020-06-17T00:00:00Z,1068,25649,0.0416,23.32
2020-06-16T00:00:00Z,1115,26076,0.042800000000000005,23.15
2020-06-15T00:00:00Z,1193,26808,0.044500000000000005,23.1
2020-06-14T00:00:00Z,1192,26726,0.0446,22.16
2020-06-13T00:00:00Z,748,19617,0.0381,28.05
2020-06-12T00:00:00Z,742,17807,0.0417,27.75
2020-06-11T00:00:00Z,976,21438,0.0455,21.39
2020-06-10T00:00:00Z,1111,24173,0.046,20.48
2020-06-09T00:00:00Z,1166,25310,0.0461,21.25
