Date,Clicks,Impressions,CTR,Position
2020-10-26T00:00:00Z,135,3738,0.0361,27.46
2020-10-25T00:00:00Z,137,3793,0.0361,26.23
2020-10-24T00:00:00Z,49,2560,0.0191,35.8
2020-10-23T00:00:00Z,52,2269,0.0229,35
2020-10-22T00:00:00Z,103,2940,0.035,28.46
2020-10-21T00:00:00Z,121,3179,0.0381,25.77
2020-10-20T00:00:00Z,109,3092,0.0353,25.32
2020-10-19T00:00:00Z,95,3285,0.028900000000000002,26.43
2020-10-18T00:00:00Z,132,3326,0.0397,27.22
2020-10-17T00:00:00Z,43,2113,0.0204,36
2020-10-16T00:00:00Z,46,2062,0.0223,35.83
2020-10-15T00:00:00Z,78,3117,0.025,29.19
2020-10-14T00:00:00Z,114,3007,0.0379,25.92
2020-10-13T00:00:00Z,129,3571,0.0361,25.88
2020-10-12T00:00:00Z,117,3285,0.0356,24.52
2020-10-11T00:00:00Z,119,3626,0.032799999999999996,25.64
2020-10-10T00:00:00Z,41,2279,0.018000000000000002,35.83
2020-10-09T00:00:00Z,53,2334,0.0227,35.82
2020-10-08T00:00:00Z,88,2925,0.0301,25.46
2020-10-07T00:00:00Z,121,4172,0.028999999999999998,22.51
2020-10-06T00:00:00Z,102,4128,0.024700000000000003,22.06
2020-10-05T00:00:00Z,131,4347,0.0301,21.37
2020-10-04T00:00:00Z,130,4204,0.030899999999999997,20.69
2020-10-03T00:00:00Z,48,2290,0.021,33.02
2020-10-02T00:00:00Z,47,2027,0.0232,31.18
2020-10-01T00:00:00Z,89,3042,0.029300000000000003,23.27
2020-09-30T00:00:00Z,111,3742,0.0297,23.18
2020-09-29T00:00:00Z,97,3546,0.0274,22.39
2020-09-28T00:00:00Z,102,3650,0.0279,22.65
2020-09-27T00:00:00Z,117,3917,0.029900000000000003,21.93
2020-09-26T00:00:00Z,32,2351,0.013600000000000001,31.85
2020-09-25T00:00:00Z,44,2252,0.0195,32.76
2020-09-24T00:00:00Z,79,3692,0.021400000000000002,24.54
2020-09-23T00:00:00Z,114,4338,0.0263,22.02
2020-09-22T00:00:00Z,111,4448,0.025,22.07
2020-09-21T00:00:00Z,90,4384,0.020499999999999997,22.82
2020-09-20T00:00:00Z,118,4066,0.028999999999999998,21.02
2020-09-19T00:00:00Z,45,2336,0.019299999999999998,33.98
2020-09-18T00:00:00Z,41,2146,0.0191,33.49
2020-09-17T00:00:00Z,69,2953,0.023399999999999997,24.26
2020-09-16T00:00:00Z,83,3242,0.0256,23.57
2020-09-15T00:00:00Z,74,3319,0.0223,22.41
2020-09-14T00:00:00Z,82,3393,0.0242,23.11
2020-09-13T00:00:00Z,100,3855,0.0259,21.48
2020-09-12T00:00:00Z,36,2173,0.0166,31.89
2020-09-11T00:00:00Z,32,2122,0.0151,31.48
2020-09-10T00:00:00Z,73,3309,0.022099999999999998,23.78
2020-09-09T00:00:00Z,95,3640,0.026099999999999998,22.81
2020-09-08T00:00:00Z,106,3673,0.028900000000000002,20.97
2020-09-07T00:00:00Z,102,3578,0.0285,21.99
2020-09-06T00:00:00Z,59,2266,0.026000000000000002,30.02
2020-09-05T00:00:00Z,25,2095,0.011899999999999999,34.7
2020-09-04T00:00:00Z,40,2041,0.0196,32.34
2020-09-03T00:00:00Z,80,3269,0.0245,24.73
2020-09-02T00:00:00Z,104,3511,0.0296,21.99
2020-09-01T00:00:00Z,98,3634,0.027000000000000003,22.46
2020-08-31T00:00:00Z,98,3734,0.0262,22.74
2020-08-30T00:00:00Z,104,3607,0.0288,23.79
2020-08-29T00:00:00Z,42,2619,0.016,34.91
2020-08-28T00:00:00Z,27,2945,0.0092,32.68
